query	qlength	subject	slength	evalue	percent_id	aln_length	num_identities	database	blast_type
NP_001240185.1 protein FLOWERING LOCUS T [Glycine max]	176	gnl|BL_ORD_ID|3 CP125839.1 Trifolium repens isolate ACLI19 chromosome 02_Pall	51880688	4.91915e-38	90.54054054054053	74	67	GCA_030408175.1_genomic.fna	tblastn
NP_001240185.1 protein FLOWERING LOCUS T [Glycine max]	176	gnl|BL_ORD_ID|2 CP125838.1 Trifolium repens isolate ACLI19 chromosome 02_Occ	54808019	1.17675e-32	89.39393939393939	66	59	GCA_030408175.1_genomic.fna	tblastn
NP_001240185.1 protein FLOWERING LOCUS T [Glycine max]	176	gnl|BL_ORD_ID|12 CP125848.1 Trifolium repens isolate ACLI19 chromosome 07_0cc	59135880	3.30159e-31	79.16666666666666	72	57	GCA_030408175.1_genomic.fna	tblastn
NP_001240185.1 protein FLOWERING LOCUS T [Glycine max]	176	gnl|BL_ORD_ID|12 CP125848.1 Trifolium repens isolate ACLI19 chromosome 07_0cc	59135880	6.30813e-31	79.16666666666666	72	57	GCA_030408175.1_genomic.fna	tblastn
NP_001240185.1 protein FLOWERING LOCUS T [Glycine max]	176	gnl|BL_ORD_ID|13 CP125849.1 Trifolium repens isolate ACLI19 chromosome 07_Pall	58506720	1.06295e-30	79.16666666666666	72	57	GCA_030408175.1_genomic.fna	tblastn
NP_173076.1 Wall-associated kinase family protein [Arabidopsis thaliana]	720	gnl|BL_ORD_ID|233 WJX22779.1 putative serine/threonine-protein kinase pbl23 chr2:6848057..6850821	391	1.19765e-60	34.63687150837989	358	124	chr2_region_proteins.faa	blastp
NP_173076.1 Wall-associated kinase family protein [Arabidopsis thaliana]	720	gnl|BL_ORD_ID|595 WJX23141.1 hypothetical protein chr2:9971518..9976588	956	2.11857e-57	39.66101694915255	295	117	chr2_region_proteins.faa	blastp
NP_173076.1 Wall-associated kinase family protein [Arabidopsis thaliana]	720	gnl|BL_ORD_ID|96 WJX22642.1 Serine/threonine-protein kinase pbl27 chr2:5765876..5770893	507	6.66902e-56	35.73573573573574	333	119	chr2_region_proteins.faa	blastp
NP_173076.1 Wall-associated kinase family protein [Arabidopsis thaliana]	720	gnl|BL_ORD_ID|318 WJX22864.1 Chitin elicitor receptor kinase 1, variant 2 chr2:7577084..7580205	403	8.20305e-56	32.972972972972975	370	122	chr2_region_proteins.faa	blastp
NP_173076.1 Wall-associated kinase family protein [Arabidopsis thaliana]	720	gnl|BL_ORD_ID|317 WJX22863.1 Chitin elicitor receptor kinase 1 chr2:7574561..7580205	585	1.06978e-54	32.972972972972975	370	122	chr2_region_proteins.faa	blastp
